mode,depth,fid_raw,fid_raw_err,fid_post,fid_post_err,P00,P00_err,P01,P01_err,P10,P10_err,P11,P11_err
6,200,0.43349891340005114,0.002927800917664016,0.8791048059329576,0.0030991956459523414,0.5104261241619465,0.002459833727329298,0.05607496243800233,0.0014301680638417547,0.40788181583981675,0.002501329436683458,0.025617097560234513,0.002501329436683458
6,250,0.3642150625979371,0.002205399396514591,0.8501117201668021,0.005378325337417236,0.5760730182354402,0.003096380795184942,0.059711919166622565,0.0022280177839216378,0.33847448749791414,0.003036007829090578,0.025740575100023033,0.003036007829090578
6,300,0.31879842090728894,0.0019919565327293177,0.831327547387191,0.0027528521221242934,0.6215777978979082,0.0020062080086157954,0.05962378119480278,0.0009624636029787961,0.2940772688703479,0.002168854175220032,0.024721152036941096,0.002168854175220032
6,400,0.23231064693782605,0.0016725186404522058,0.7621349288269442,0.005559014692358127,0.703084521115791,0.0017296713543159153,0.06460483194638286,0.0015201109431010203,0.20706381812274424,0.0019416288162456292,0.02524682881508188,0.0019416288162456292
6,700,0.1190491371642703,0.001355757420117426,0.6080280450689536,0.006025489565005403,0.8216111699790708,0.0024244593048326577,0.05933969285665908,0.0013136124649437654,0.09196096405623802,0.001563397055386827,0.02708817310803232,0.001563397055386827
6,1000,0.08591930066476805,0.0008955854901074498,0.5172883938339747,0.005917883959827124,0.861725028130041,0.001980251610383592,0.052355671205191,0.001169644725889548,0.0560184448724313,0.0010561346784912378,0.029900855792336714,0.0010561346784912378
6,1500,0.08041250467342317,0.0004780602668321949,0.4941448661161955,0.005334873225258894,0.8730405032764847,0.0021021302160566086,0.04654699205009215,0.0013812559682769147,0.045407048196062894,0.0012777307327640091,0.03500545647736026,0.0012777307327640091
6,2000,0.08446920401219643,0.0007757375447051558,0.46504525231259747,0.00756568484605616,0.8619595767627877,0.0015089788650229719,0.053571219225015884,0.001467791556718414,0.046457905949658575,0.0011779871072148105,0.03801129806253787,0.0011779871072148105
7,1,0.9258254126847432,0.00179253564403669,0.9935975576033539,0.000440799071081912,0.06837901354012545,0.0015625951832791605,0.005795573775131473,0.0003995109432924669,0.8988093447808143,0.0021449075559864016,0.027016067903928822,0.0021449075559864016
7,5,0.9009769459181513,0.002105811282183337,0.9905509257092245,0.0005681122030740019,0.09071112296797194,0.0020673190533575573,0.00831193111387669,0.0005020936283684253,0.8711664358406226,0.0023715835099062583,0.02981051007752871,0.0023715835099062583
7,10,0.8839193798938909,0.0022198103644724167,0.9848698488571375,0.0008277273303953986,0.1030306129683732,0.0016344428411167254,0.013050007137735974,0.0007115058339139909,0.8495903621101261,0.002183218129274101,0.03432901778376494,0.002183218129274101
7,20,0.825735462842516,0.0034396358161313573,0.971730571139391,0.001307561130253533,0.1513549233260272,0.0029442720335721394,0.022909613831456836,0.0010811898764132406,0.7869145043169448,0.0027794623323611025,0.038820958525571214,0.0027794623323611025
7,40,0.7370312058174415,0.0030819970174292316,0.9489821911151528,0.0015489786847644508,0.22557050679815044,0.002502882796121482,0.03739828738440799,0.0011185232369479222,0.6960693143448278,0.0030260117497765806,0.04096189147261365,0.0030260117497765806
7,80,0.5879664673661069,0.0034397039868907108,0.8903085445482964,0.0021067862778252943,0.34502697034134794,0.0026074415632041095,0.06700656229254515,0.0012305887812269984,0.5443501954251332,0.0029542027516405575,0.04361627194097376,0.0029542027516405575
7,120,0.47074925019897634,0.004094976747683577,0.8363835340911352,0.002219645532445587,0.4447702243294552,0.002238918809378562,0.08448052547156859,0.001201447266120174,0.4318699568443484,0.0023106420829849144,0.03887929335462792,0.0023106420829849144
7,160,0.38304309687964627,0.0031871246450847234,0.7865229232157168,0.0022573865481379106,0.5225265165663513,0.0019985722915359947,0.09443038655400247,0.0009158621468208144,0.34814491499907346,0.002085951672940469,0.03489818188057295,0.002085951672940469
7,200,0.3058713947768313,0.0036739102669130744,0.7382655212138616,0.003393314009357449,0.5971728431179991,0.0021751425328972876,0.0969557621051698,0.0013809327355758685,0.2734835481869982,0.0021176491218376304,0.03238784658983306,0.0021176491218376304
7,250,0.24349668403079075,0.0022876259822916536,0.6979194713457328,0.003944512269852844,0.6639807632107074,0.0017391684933552739,0.09252255275850177,0.0013084629256040114,0.21380890408100092,0.0018263106169340028,0.029687779949789817,0.0018263106169340028
