series,depth,fidelity,fidelity_err
S4,17,0.39533829521824254,0.0030523213109002554
S4,18,0.3996894715692621,0.0028477143065261763
S4,19,0.40514535337138186,0.0040339824061544245
S4,20,0.40250892240791536,0.0039979467306789345
S4,21,0.3900283910500079,0.003340426189002863
S4,22,0.37905454285773577,0.003077745819193728
S4,23,0.39518888225471877,0.0029474742620925927
S4,24,0.3898626757713967,0.0032750177473418107
S5,1,0.7760656623227901,0.006840930550884937
S5,2,0.7016745109182612,0.00597893795661847
S5,3,0.6185868082423238,0.005661626579133275
S5,4,0.5442437684867617,0.006669596396289177
S5,5,0.5267044602426102,0.00674806191899135
S5,6,0.4821887653496098,0.005689436272136521
S5,7,0.4531993354613606,0.004808573540655401
S5,8,0.43073764016318344,0.0035350593787217433
S5,9,0.4195702012188158,0.004511771043275135
S5,10,0.4038076634064508,0.0038405028200098872
S5,11,0.40242690164648115,0.004347575193309976
S5,12,0.39965599070318875,0.003950620925346258
S5,13,0.38878514242157824,0.0035671886597115963
S5,14,0.38412606411270467,0.003254517873754225
S5,15,0.3816930422565129,0.0033514164109024625
S5,16,0.389805948837239,0.003913677464103425
S5,17,0.3847455369907672,0.004100088696512076
S5,18,0.3899345195319462,0.0038732219719193528
S5,19,0.4071368415900487,0.004467308419485169
S5,20,0.39632826874318355,0.0038895725833584163
S5,21,0.37964628428120833,0.003829372337074499
S5,22,0.36751580849755605,0.0035875248098540305
S5,23,0.3834568770957078,0.002631298456051877
S5,24,0.38861266300050334,0.004082717455647646
S6,1,0.777386989877611,0.00507250695805893
S6,2,0.7018507518818935,0.005578497199140579
S6,3,0.6174303104945469,0.006877532434115501
S6,4,0.5481206362364719,0.005113746821323814
S6,5,0.5339676899434959,0.00521766820604549
S6,6,0.47660803490974907,0.005381923316734134
S6,7,0.45381385658493595,0.005361150879291342
S6,8,0.41860667076260294,0.005050905809607151
S6,9,0.4164757205700203,0.004301746769374725
S6,10,0.40092165343240566,0.004221297706732099
S6,11,0.40566935213825384,0.004591261080185601
S6,12,0.38728755582734264,0.003729102860812418
S6,13,0.3884311636097406,0.003961516759441206
S6,14,0.3839806871810912,0.0033917180660753003
S6,15,0.3793398465323229,0.002892127564562273
S6,16,0.37920683259623494,0.004062480793322911
S6,17,0.3875483798144853,0.0032203420490355267
S6,18,0.3887019057862141,0.0035894987497313165
S6,19,0.39791292419326313,0.004689159874508354
S6,20,0.3949098573564361,0.0045351630605661095
S6,21,0.37643301649402017,0.0035883269620615426
S6,22,0.3698632042492743,0.0037502899410742185
S6,23,0.38891114041883323,0.003035936357404287
S6,24,0.38385019116223995,0.0036111907568586806
S7,1,0.7742259991039229,0.006185774419456356
S7,2,0.6925850678727489,0.007218970612375751
S7,3,0.6126734088004138,0.007456168209224124
S7,4,0.5515446400816704,0.007222352084595088
S7,5,0.5302411191360207,0.005768239802330179
S7,6,0.47769365018560755,0.006612747683444965
S7,7,0.4464371852815543,0.004691006946905815
S7,8,0.4199011338205592,0.005532380772163951
S7,9,0.40607924107743565,0.004684674640204478
S7,10,0.40754821360404525,0.0045128617194181075
S7,11,0.3875490423667591,0.004720958685894092
S7,12,0.39184518976909943,0.004274959971558346
S7,13,0.37557382507780496,0.004552669327433641
S7,14,0.3716891040698955,0.0037606587160119195
S7,15,0.37158854625651716,0.0039399829244038415
S7,16,0.3781575768623423,0.004570341055244216
S7,17,0.38219186545599665,0.0035383700219417218
S7,18,0.3760829496468437,0.004505159210980562
S7,19,0.3951220840584725,0.00433203604027445
S7,20,0.38424222010005643,0.004665620880644008
S7,21,0.3750386356633105,0.0035901590762088273
S7,22,0.3646590731182524,0.0037295819365923185
S7,23,0.3777220173934765,0.004235093334711056
S7,24,0.3755550379859114,0.0045771173976735455
Ref,1,0.9598333333333333,0.00317423073212089
Ref,3,0.9326666666666665,0.0037509504968247175
Ref,5,0.9039666666666667,0.005820745147665724
Ref,7,0.8845,0.007146055633082571
Ref,10,0.8553666666666667,0.009834461328900005
Ref,15,0.7878000000000001,0.008364129761467517
Ref,20,0.7533333333333335,0.01218754677104036
Ref,30,0.6721333333333332,0.009738666727516122
Ref,50,0.5440666666666666,0.009312230110431637
Ref,70,0.46359999999999996,0.008513335943617457
Ref,100,0.39736666666666665,0.00709671024463422
